score,manifesto,region,Year,DM,countryname,cowcode,year,avemag_bothtiers,avemag_lower,v2xps_party,PI_7,normalPS,abbr,elec_result_major
19.795,23.58,Americas,2011,10.71,Argentina,160,2011,NaN,5.416666508,0.7403139092705466,0.12817619380797327,0.5850617853609356,ARG,19.176
11.8245,11.8245,Europe,2008,3.45,Austria,305,2008,3.452980042,3.4400000569999998,0.922889232635498,0.7524448347281152,0.7856760303985024,AUS,18.782
51.93875,51.93875,Americas,2014,2.99,Bolivia,145,2009,2.923931599,0.879999995,0.6771667382933875,0.12727338102410707,0.5847716584937929,BOL,31.543333333333333
10.281375,1.652,Americas,2014,19,Brazil,140,2010,NaN,19,0.7509163726459853,0.024801464250235484,0.5518414023930825,BRA,24.5025
21.508,21.508,Americas,2006,1,Canada,20,2006,NaN,1,0.8941349744796752,0.5270089862900185,0.7132302281039138,CAN,19.788
16.4414375,19.2335,Americas,2013,2,Chile,155,2009,NaN,2,0.8901667356491085,0.6163124572779259,0.7419286877687572,CHL,18.814
11.209125,6.29425,Americas,2014,5.03,Colombia,100,2010,NaN,5.03000021,0.6166935183785177,-0.36722384766360355,0.4258606036951193,COL,18.794
40.733625,56.107,Americas,2013,5.36,Ecuador,130,2009,5.167861462,3.8099999430000002,0.5578964427113534,-0.07251473888755522,0.5205679804354548,ECU,22.575
10.92525,10.17975,Europe,2012,1,France,220,2012,NaN,1,0.936560034751892,0.6476148275258385,0.7519879810978525,FRN,16.041666666666668
7.34,7.34,Europe,2013,10.6,German Federal Republic,260,2009,10.96392727,1,0.9825596570968628,1.0363688487970801,0.8769175216361943,GMY,11.875
9.265,9.265,Europe,2011,3.86,Ireland,205,2011,NaN,3.859999895,0.894810914993286,0.41478664556857336,0.6771665870935346,IRE,20.75
13.927375,9.7175,Europe,2013,22.5,Italy/Sardinia,325,2008,22.5,22.5,0.868302226066589,0.16878925902373063,0.5981131528057451,ITA,12.90857142857143
0.05725,17.28825,Americas,2012,16.6,Mexico,70,2012,133.4444427,0.333333343,0.935238873958588,0.5677237964482331,0.7263142921852024,MEX,24.375
7.495,7.495,Europe,2012,150,Netherlands,210,2012,NaN,150,0.9531877875328062,0.9844105252443585,0.8602202551555601,NTH,14.616666666666667
0,0,Europe,2013,9.14,Norway,385,2009,9.143257141,7.889999866,0.9448921561241148,0.7528640143386169,0.7858107374710409,NOR,24.633333333333333
3.5435,0.588,Americas,2013,4.44,Paraguay,150,2008,NaN,4.440000057,0.6544662172144109,-0.10785215424801373,0.5092119896977683,PAR,29.606666666666666
19.741125,8.7175,Americas,2011,5.2,Peru,135,2011,NaN,5.199999809,0.4486172884702684,-0.48901273090552,0.38672266969681207,PER,19.844
5.534875,5.05825,Europe,2011,10.45,Portugal,235,2011,NaN,10.44999981,0.9188469919291407,0.6938086492234128,0.7668327739607449,POR,18.298
13.3085,13.3085,Europe,2011,6.73,Spain,230,2011,NaN,6.730000019,0.9504281163215635,1.0003073365725739,0.8653288359716875,SPN,15.085
5.8445,1.3505,Europe,2014,13.85,Sweden,380,2010,13.8532753,10.68999958,0.8542159616947174,1.1117000835680697,0.9011258797062948,SWD,11.98875
17.61,17.61,Europe,2011,7.69,Switzerland,225,2007,NaN,7.690000057,0.961662328243256,0.617007211543183,0.7421519531921265,SWZ,14.416666666666668
4.201375,5.235,Europe,2010,1,United Kingdom,200,2010,NaN,1,0.960924915969372,0.5669178690088114,0.7260553002797683,UKG,15.8
5.00075,2.105,Americas,2014,5.2,Uruguay,165,2009,NaN,5.2100000380000004,0.9376284599304197,0.7048475757274588,0.7703802305547045,URU,19.16
13.12125,17.3975,Americas,2012,1,United States of America,2,2012,NaN,1,0.9616123654625635,0.3013419683194561,0.6407101374369941,USA,49.150000000000006
76.785,66.445,Americas,2013,1.54,Venezuela,101,2010,1.542693615,1.25999999,0.6749460101127625,0.3122097528271755,0.6442025960378835,VEN,49.85
