countryname,year,v2xps_party,PI_7,normalPS,avg_psi,avg_pi7,avg_nps
Albania,1992,0.388871848352862,-0.02591369067300551,0.45472610654362083,0.717869372208063,0.3780800524754119,0.6184506440681371
Albania,1993,0.420219618428317,0.03161404393531431,0.4780400857903738,0.7162464470482383,0.37553449050688453,0.6174190168137417
Albania,1994,0.505919882215815,0.07354414276593961,0.49503288866375733,0.7058939080881345,0.354612676958143,0.6089401373619293
Albania,1995,0.505919882215815,0.07354414276593961,0.49503288866375733,0.7082844269949355,0.3563409515562893,0.6096405466234484
Albania,1997,0.505919882215815,0.07354414276593961,0.49503288866375733,0.7115383422399811,0.3607113937575838,0.6114117340250356
Albania,1998,0.498435678792712,0.05813276131915458,0.488787194657893,0.7171952640942274,0.36981903837273816,0.6151027439177457
Albania,1999,0.498435678792712,0.05813276131915458,0.488787194657893,0.720291142205442,0.37476920194905733,0.6171088721213348
Albania,2e3,0.498435678792712,0.05813276131915458,0.488787194657893,0.7076039894226702,0.35242476670330086,0.608053453840973
Albania,2001,0.498435678792712,0.05813276131915458,0.488787194657893,0.7134158488790454,0.3441028829451552,0.6046808853476667
Albania,2002,0.498435678792712,0.05813276131915458,0.488787194657893,0.7060408390388146,0.3398415115327129,0.6029539005228894
Albania,2003,0.556837003864794,0.16790371201499205,0.5332735225803031,0.7170934424995747,0.3544596027213908,0.6088781017263676
Albania,2004,0.556837003864794,0.16790371201499205,0.5332735225803031,0.7152445874610159,0.3408993421257579,0.6033826022727627
Albania,2005,0.557266425372677,0.16838956083272735,0.5334704201173062,0.7068170813274306,0.3295306010732775,0.5987752490584592
Albania,2006,0.572970983375253,0.19602041945550874,0.5446682409403831,0.7020153598523025,0.3244611415576944,0.5967207743821443
Albania,2007,0.572970983375253,0.19602041945550874,0.5446682409403831,0.70676704591035,0.33004504710281046,0.5989837360454364
Albania,2008,0.572970983375253,0.2781172748721916,0.5779392257347579,0.7080186010032066,0.33798937145009156,0.6022032929117552
Albania,2009,0.572970983375253,0.2781172748721916,0.5779392257347579,0.7149570140306905,0.35335584564215,0.6084307875775647
